# 252c250e-67f1-4e66-b0dc-a54ba53a4bc2
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
89657.1448305; 43129.1380968; 2.9327059; 2.8921019; -0.9996659; 0.0258462; 0.8327058; 0.0000000; 2.9692004; -0.0763779; 7.6814793; -1.2138392
89656.7230743; 43126.2944868; 3.3456943; 3.7502454; -0.9550460; 0.2964578; 1.1999923; 2.6211351; 2.6865189; -0.1197816; 7.3686304; 2.1055712
89655.3365769; 43123.6813651; 3.5896927; 3.7169014; -0.7815943; 0.6237871; 1.4001208; 5.1161538; 2.4315302; -0.1192657; 7.9290984; 2.4410318
89652.8635436; 43121.5714318; 3.5487562; 2.9185211; -0.5085533; 0.8610305; 1.3510341; 7.8750083; 2.1783151; -0.0773773; 8.8356045; 2.3531191
89650.0439129; 43120.5601275; 3.4433950; 4.1249403; -0.0991463; 0.9950729; 0.9984688; 10.4093044; 1.9511168; -0.1484323; 9.3601196; 2.2933154
89647.3689434; 43120.7947071; 3.2405675; 3.4841102; 0.1887114; 0.9820326; 0.3834658; 12.9511724; 1.5940559; -0.0653349; 10.0536337; 1.6964761
89644.4647060; 43121.3412905; 3.2965346; 3.4643258; 0.1514847; 0.9884596; -0.0445818; 15.9387189; 1.4830181; -0.0189101; 10.5540355; 1.5015812
89641.2635188; 43121.7776918; 3.0648301; 3.5572571; 0.1710547; 0.9852615; -0.0120769; 19.1724032; 1.3482504; -0.0750441; 10.9777503; 1.6927918
89638.3121962; 43122.6426910; 3.5278565; 3.3979441; 0.4153920; 0.9096425; 0.2211880; 22.2344401; 1.1022001; -0.0875845; 11.4422066; 2.0772466
89635.8918195; 43124.2078189; 3.1926156; 3.6933537; 0.6469122; 0.7625645; 0.2935849; 25.0523869; 0.8868187; -0.0434700; 11.9983339; 2.5857223
89633.8743428; 43126.2971340; 3.2165320; 3.5438221; 0.7741863; 0.6329578; 0.1264377; 27.9235856; 0.7677552; -0.0369955; 12.6439343; 3.0682763
89632.1045345; 43128.7049611; 3.3246200; 3.3840446; 0.8261663; 0.5634264; -0.1441006; 30.9234938; 0.6864667; -0.0186940; 13.3660237; 3.5808238
89630.4319544; 43131.2318059; 3.3010824; 3.3184865; 0.8383755; 0.5450932; -0.3819315; 33.9684424; 0.6421281; -0.0110516; 14.1615398; 4.1094168
89628.7865711; 43133.7819022; 3.4170979; 3.2550148; 0.8426350; 0.5384852; -0.5451575; 37.0114958; 0.6127145; -0.0085418; 15.0227904; 4.5822743
89627.1650366; 43136.3455059; 3.4356268; 3.3804538; 0.8472845; 0.5311393; -0.6631580; 40.0524227; 0.5966825; -0.0021118; 15.9292506; 4.8630951
89625.5660191; 43138.9154738; 3.4493596; 3.5556086; 0.8508052; 0.5254812; -0.7801736; 43.0862980; 0.5952497; 0.0010790; 16.8359178; 4.9090682
89623.9870820; 43141.4847535; 3.4646396; 3.3887066; 0.8526324; 0.5225112; -0.9220504; 46.1081991; 0.6010892; 0.0027695; 17.6992309; 3.6289455
89622.4124628; 43144.0473882; 3.3609768; 3.3469421; 0.8506275; 0.5257688; -1.0843140; 49.1163717; 0.6074101; 0.0012941; 18.2836669; -9.8364797
89620.8175647; 43146.5981475; 3.3322971; 3.3299030; 0.8445691; 0.5354466; -1.2299024; 52.1149527; 0.6054714; -0.0027175; 16.3900786; -10.4595871
89619.1776328; 43149.1318140; 3.3649390; 3.4164394; 0.8332084; 0.5529591; -1.3046983; 55.1074605; 0.5933547; -0.0052445; 14.4461957; -8.2295537
89617.4787192; 43151.6471385; 3.4496060; 3.3503602; 0.8271945; 0.5619157; -1.2503602; 58.1295558; 0.5549512; -0.0206782; 12.7251850; -6.6276773
89615.7980781; 43154.1763603; 3.4155830; 3.4274856; 0.8424777; 0.5387312; -1.0083858; 61.2074905; 0.4637261; -0.0405556; 11.1458242; -5.8897315
89614.2587399; 43156.7685272; 3.3687388; 3.2638199; 0.8803560; 0.4743136; -0.5153609; 64.3198913; 0.3116775; -0.0603832; 9.5107672; -6.1433406
89612.9840790; 43159.4728134; 3.1415560; 3.5800472; 0.9269821; 0.3751055; 0.2515545; 67.4244639; 0.1188658; -0.0713935; 7.3652570; -3.1662074
89612.3277720; 43162.3133132; 3.4823978; 3.5425726; 0.9990275; -0.0440922; 1.0584646; 70.1433693; -0.2409127; -0.2188251; 6.5564631; -1.2336266
89613.4139081; 43165.0590429; 3.5733413; 3.5111800; 0.7855891; -0.6187486; 1.4733413; 72.3951109; -0.7296417; -0.2034351; 6.1730121; -0.6205363
89616.0206007; 43166.9324393; 3.5990107; 3.5471248; 0.3588115; -0.9334100; 1.4990107; 74.8253920; -1.1109015; -0.1245424; 6.0457704; 1.3792098
89618.9524567; 43167.2209844; 3.5906294; 3.5885785; -0.2542015; -0.9671513; 1.1164151; 77.0404956; -1.5165917; -0.2443650; 6.4934435; 2.5822706
89621.2953254; 43165.7061941; 3.3224952; 3.8290272; -0.7091870; -0.7050204; 0.1899237; 79.6191828; -2.0353613; -0.1078198; 7.6467255; 2.2631269
89623.2128624; 43163.3232856; 3.5342564; 3.5059316; -0.8145060; -0.5801552; -0.8399473; 82.8819075; -2.2603688; -0.0642108; 8.5147447; 2.1382581
89624.9419650; 43160.8133513; 3.4896915; 3.6786458; -0.8355972; -0.5493427; -1.3835449; 86.0267465; -2.4704571; -0.0703585; 9.2568491; 2.3809378
89626.5428638; 43158.2499358; 3.4686769; 3.5194486; -0.8581561; -0.5133889; -1.4194486; 89.1127288; -2.6475107; -0.0487662; 10.0186706; 2.8986143
89628.0558754; 43155.6436330; 3.5409665; 3.3885544; -0.8705329; -0.4921103; -1.1050329; 92.1755736; -2.7639418; -0.0282476; 10.8866307; 3.6318826
89629.5181782; 43153.0120101; 3.3375944; 3.3617476; -0.8764851; -0.4814290; -0.5964655; 95.2400466; -2.8196360; -0.0092280; 11.8947237; 4.2350624
89630.9666855; 43150.3732228; 3.3442982; 3.1823056; -0.8756772; -0.4828970; -0.0319881; 98.3028263; -2.8222617; 0.0072931; 12.9560169; 1.3711830
89632.4383105; 43147.7454268; 3.1048951; 3.1504517; -0.8680919; -0.4964035; 0.4768760; 101.3616222; -2.7796932; 0.0207898; 12.9826651; -3.3950349
89633.9699665; 43145.1467781; 2.9375036; 3.0776734; -0.8538165; -0.5205740; 0.8359591; 104.4191570; -2.6930860; 0.0373120; 11.8552403; -5.0949971
89635.5985668; 43142.5954325; 3.0302265; 3.0374854; -0.8295441; -0.5584413; 0.9302265; 107.4901822; -2.4985923; 0.0603695; 10.0595970; -4.9877444
89637.3610245; 43140.1095457; 3.0467549; 2.9158847; -0.8038459; -0.5948376; 0.6358785; 110.5916205; -2.3143317; 0.0604571; 8.4893212; -5.2533896
89639.3017823; 43137.7424060; 3.4474661; 2.9114802; -0.7202057; -0.6937606; -0.0851877; 113.7680126; -2.0651561; 0.1246151; 6.6301577; -1.3450922
89641.5957297; 43136.1559803; 3.3498748; 3.2733941; -0.2749958; -0.9614454; -0.8853121; 116.3929463; -1.7143407; 0.2429373; 6.2182742; -1.2579201
89644.4385433; 43136.4231103; 3.2900344; 3.5592805; 0.3665763; -0.9303880; -1.2470458; 118.6380539; -1.0493647; 0.1169825; 5.6718095; 0.2209660
89646.9514762; 43138.3799377; 3.4979708; 3.3112067; 0.8367902; -0.5475236; -1.2112067; 121.0899857; -0.7764748; 0.1886669; 5.7494108; 0.4335260
89647.7077064; 43141.0732571; 3.1984461; 3.2008871; 0.9994166; 0.0341524; -0.7923796; 123.3532346; -0.2697449; 0.2513548; 5.9064556; 1.7593440
89646.8728542; 43143.9201454; 3.0196834; 2.7000604; 0.9058681; 0.4235599; -0.0522758; 126.2190175; 0.1459803; 0.0813829; 7.0965881; 2.7172072
89645.4269549; 43146.6061400; 2.9126949; 2.9122695; 0.8554814; 0.5178335; 0.6103561; 129.3734543; 0.3558732; 0.0629222; 8.1488869; 2.7639340
89643.7922706; 43149.1475567; 3.0360699; 2.9515296; 0.8347569; 0.5506187; 0.9360698; 132.4426602; 0.5407915; 0.0258558; 9.4822575; 3.6389290
89642.1430095; 43151.6710019; 3.0861397; 2.9193287; 0.8394284; 0.5434704; 0.9861371; 135.4499243; 0.5922239; 0.0087341; 10.6322706; 4.5933951
89640.5153255; 43154.2054230; 3.0173419; 2.9180246; 0.8430016; 0.5379111; 0.9074404; 138.4567725; 0.5980634; -0.0032685; 11.8907476; 4.8149933
89638.8995162; 43156.7471068; 2.9237399; 2.9219449; 0.8445291; 0.5355097; 0.8237399; 141.4672775; 0.5859081; -0.0038148; 13.0698634; 4.8291451
